t,true_x,true_y,meas_x,meas_y,est_x,est_y,sig_x,sig_y
0.000,10.000,0.000,9.862,0.214,9.862,0.214,0.3453,0.3453
0.050,9.997,0.250,9.928,0.598,9.911,0.564,0.1731,0.1731
0.100,9.988,0.500,9.813,0.500,9.867,0.679,0.1309,0.1309
0.150,9.972,0.749,10.652,0.746,10.096,0.874,0.1095,0.1095
0.200,9.950,0.998,9.833,1.209,10.020,1.140,0.0961,0.0961
0.250,9.922,1.247,,,10.003,1.387,0.0963,0.0963
0.300,9.888,1.494,9.941,1.608,9.961,1.625,0.0868,0.0868
0.350,9.847,1.741,9.999,1.724,9.933,1.848,0.0798,0.0798
0.400,9.801,1.987,,,9.899,2.093,0.0800,0.0800
0.450,9.748,2.231,10.035,2.279,9.868,2.324,0.0744,0.0744
0.500,9.689,2.474,9.218,2.570,9.734,2.572,0.0699,0.0699
0.550,9.624,2.715,,,9.680,2.816,0.0703,0.0703
0.600,9.553,2.955,9.536,2.666,9.608,3.011,0.0664,0.0664
0.650,9.477,3.193,,,9.551,3.252,0.0669,0.0669
0.700,9.394,3.429,9.117,3.263,9.423,3.470,0.0636,0.0636
0.750,9.305,3.663,,,9.351,3.710,0.0641,0.0641
0.800,9.211,3.894,9.127,3.849,9.247,3.917,0.0612,0.0612
0.850,9.110,4.123,8.840,3.913,9.111,4.130,0.0587,0.0587
0.900,9.004,4.350,9.141,4.308,9.005,4.346,0.0566,0.0566
0.950,8.893,4.573,8.772,4.900,8.884,4.593,0.0546,0.0546
1.000,8.776,4.794,8.673,4.585,8.758,4.802,0.0529,0.0529
1.050,8.653,5.012,,,8.643,5.026,0.0533,0.0533
1.100,8.525,5.227,,,8.529,5.251,0.0541,0.0541
1.150,8.392,5.438,,,8.415,5.475,0.0552,0.0552
1.200,8.253,5.646,,,8.301,5.699,0.0568,0.0568
1.250,8.110,5.851,8.324,6.029,8.131,5.894,0.0541,0.0541
1.300,7.961,6.052,8.015,6.074,7.982,6.076,0.0524,0.0524
1.350,7.807,6.249,,,7.842,6.279,0.0532,0.0532
1.400,7.648,6.442,,,7.703,6.482,0.0543,0.0543
1.450,7.485,6.631,7.901,6.560,7.546,6.653,0.0523,0.0523
1.500,7.317,6.816,,,7.393,6.848,0.0532,0.0532
1.550,7.144,6.997,6.963,6.981,7.195,7.019,0.0515,0.0515
1.600,6.967,7.174,6.463,7.100,6.980,7.180,0.0501,0.0501
1.650,6.786,7.345,,,6.811,7.361,0.0508,0.0508
1.700,6.600,7.513,6.797,7.375,6.619,7.509,0.0494,0.0494
1.750,6.410,7.675,,,6.437,7.681,0.0502,0.0502
1.800,6.216,7.833,6.177,8.117,6.227,7.848,0.0489,0.0489
1.850,6.018,7.986,6.300,7.949,6.042,8.002,0.0477,0.0477
1.900,5.817,8.134,5.785,8.175,5.840,8.152,0.0467,0.0467
1.950,5.612,8.277,5.483,8.443,5.626,8.300,0.0457,0.0457
2.000,5.403,8.415,5.346,8.603,5.410,8.443,0.0448,0.0448
2.050,5.191,8.547,,,5.204,8.585,0.0453,0.0453
2.100,4.976,8.674,,,4.997,8.728,0.0462,0.0462
2.150,4.757,8.796,,,4.791,8.870,0.0476,0.0476
2.200,4.536,8.912,4.454,8.475,4.548,8.946,0.0462,0.0462
2.250,4.312,9.023,,,4.332,9.074,0.0473,0.0473
2.300,4.085,9.128,,,4.115,9.203,0.0488,0.0488
2.350,3.855,9.227,,,3.899,9.332,0.0507,0.0507
2.400,3.624,9.320,3.892,9.356,3.642,9.389,0.0484,0.0484
2.450,3.389,9.408,3.453,9.649,3.409,9.467,0.0471,0.0471
2.500,3.153,9.490,3.240,9.199,3.170,9.535,0.0461,0.0461
