t,true_x,true_y,est_x,est_y,sig_x,sig_y,delivered,link_bad
0.000,10.000,0.000,9.862,0.214,0.3453,0.3453,1,0
0.050,9.997,0.250,9.911,0.564,0.1731,0.1731,1,0
0.100,9.988,0.500,9.867,0.679,0.1309,0.1309,1,0
0.150,9.972,0.749,10.096,0.874,0.1095,0.1095,1,0
0.200,9.950,0.998,10.020,1.140,0.0961,0.0961,1,0
0.250,9.922,1.247,9.991,1.341,0.0867,0.0867,1,0
0.300,9.888,1.494,9.991,1.341,0.0867,0.0867,0,0
0.350,9.847,1.741,9.956,1.587,0.0796,0.0796,1,0
0.400,9.801,1.987,9.825,2.078,0.0743,0.0743,1,0
0.450,9.748,2.231,9.825,2.078,0.0743,0.0743,0,0
0.500,9.689,2.474,9.653,2.570,0.0701,0.0701,1,0
0.550,9.624,2.715,9.563,2.813,0.0663,0.0663,1,0
0.600,9.553,2.955,9.563,2.813,0.0663,0.0663,0,0
0.650,9.477,3.193,9.434,3.242,0.0603,0.0603,1,0
0.700,9.394,3.429,9.434,3.242,0.0603,0.0603,0,0
0.750,9.305,3.663,9.331,3.464,0.0579,0.0579,1,0
0.800,9.211,3.894,9.141,3.908,0.0540,0.0540,1,0
0.850,9.110,4.123,9.141,3.908,0.0540,0.0540,0,1
0.900,9.004,4.350,9.141,3.908,0.0540,0.0540,0,1
0.950,8.893,4.573,8.838,4.610,0.0531,0.0531,1,0
1.000,8.776,4.794,8.709,4.818,0.0516,0.0516,1,0
1.050,8.653,5.012,8.709,4.818,0.0516,0.0516,0,0
1.100,8.525,5.227,8.484,5.224,0.0489,0.0489,1,0
1.150,8.392,5.438,8.332,5.414,0.0477,0.0477,1,0
1.200,8.253,5.646,8.214,5.632,0.0467,0.0467,1,0
1.250,8.110,5.851,8.085,5.849,0.0457,0.0457,1,0
1.300,7.961,6.052,7.945,6.047,0.0448,0.0448,1,0
1.350,7.807,6.249,7.945,6.047,0.0448,0.0448,0,0
1.400,7.648,6.442,7.652,6.465,0.0432,0.0432,1,0
1.450,7.485,6.631,7.509,6.651,0.0425,0.0425,1,0
1.500,7.317,6.816,7.342,6.826,0.0418,0.0418,1,0
1.550,7.144,6.997,7.164,7.009,0.0412,0.0412,1,0
1.600,6.967,7.174,6.968,7.180,0.0406,0.0406,1,0
1.650,6.786,7.345,6.968,7.180,0.0406,0.0406,0,0
1.700,6.600,7.513,6.601,7.489,0.0396,0.0396,1,0
1.750,6.410,7.675,6.601,7.489,0.0396,0.0396,0,1
1.800,6.216,7.833,6.601,7.489,0.0396,0.0396,0,1
1.850,6.018,7.986,6.037,7.978,0.0404,0.0404,1,0
1.900,5.817,8.134,5.835,8.125,0.0399,0.0399,1,0
1.950,5.612,8.277,5.835,8.125,0.0399,0.0399,0,0
2.000,5.403,8.415,5.622,8.271,0.0394,0.0394,1,0
2.050,5.191,8.547,5.406,8.411,0.0390,0.0390,1,0
2.100,4.976,8.674,4.974,8.677,0.0382,0.0382,1,0
2.150,4.757,8.796,4.764,8.805,0.0378,0.0378,1,0
2.200,4.536,8.912,4.764,8.805,0.0378,0.0378,0,0
2.250,4.312,9.023,4.326,9.024,0.0371,0.0371,1,0
2.300,4.085,9.128,4.103,9.140,0.0368,0.0368,1,0
2.350,3.855,9.227,4.103,9.140,0.0368,0.0368,0,0
2.400,3.624,9.320,3.636,9.333,0.0362,0.0362,1,0
2.450,3.389,9.408,3.405,9.429,0.0360,0.0360,1,0
2.500,3.153,9.490,3.405,9.429,0.0360,0.0360,0,0
2.550,2.915,9.566,3.169,9.509,0.0357,0.0357,1,0
2.600,2.675,9.636,2.684,9.662,0.0353,0.0353,1,0
2.650,2.433,9.699,2.451,9.740,0.0351,0.0351,1,0
2.700,2.190,9.757,2.451,9.740,0.0351,0.0351,0,0
2.750,1.945,9.809,2.451,9.740,0.0351,0.0351,0,0
2.800,1.700,9.854,2.209,9.808,0.0349,0.0349,1,0
2.850,1.453,9.894,1.718,9.894,0.0345,0.0345,1,0
2.900,1.205,9.927,1.718,9.894,0.0345,0.0345,0,0
2.950,0.956,9.954,1.477,9.936,0.0343,0.0343,1,0
3.000,0.707,9.975,1.223,9.973,0.0342,0.0342,1,0
3.050,0.458,9.990,1.223,9.973,0.0342,0.0342,0,0
3.100,0.208,9.998,0.965,10.000,0.0340,0.0340,1,0
3.150,-0.042,10.000,0.712,10.012,0.0339,0.0339,1,0
3.200,-0.292,9.996,0.218,10.034,0.0336,0.0336,1,0
3.250,-0.542,9.985,0.218,10.034,0.0336,0.0336,0,0
3.300,-0.791,9.969,0.218,10.034,0.0336,0.0336,0,0
3.350,-1.040,9.946,-0.531,10.007,0.0341,0.0341,1,0
3.400,-1.288,9.917,-0.783,9.995,0.0339,0.0339,1,0
3.450,-1.536,9.881,-1.035,9.972,0.0338,0.0338,1,0
3.500,-1.782,9.840,-1.035,9.972,0.0338,0.0338,0,0
3.550,-2.028,9.792,-1.290,9.949,0.0337,0.0337,1,0
3.600,-2.272,9.738,-1.786,9.852,0.0335,0.0335,1,0
3.650,-2.515,9.679,-1.786,9.852,0.0335,0.0335,0,0
3.700,-2.756,9.613,-2.281,9.750,0.0333,0.0333,1,0
3.750,-2.995,9.541,-2.281,9.750,0.0333,0.0333,0,0
3.800,-3.233,9.463,-2.527,9.683,0.0332,0.0332,1,0
3.850,-3.468,9.379,-2.990,9.542,0.0330,0.0330,1,0
3.900,-3.702,9.290,-3.463,9.373,0.0328,0.0328,1,0
3.950,-3.933,9.194,-3.699,9.282,0.0327,0.0327,1,0
4.000,-4.161,9.093,-4.157,9.082,0.0326,0.0326,1,0
4.050,-4.387,8.986,-4.157,9.082,0.0326,0.0326,0,0
4.100,-4.611,8.874,-4.385,8.987,0.0325,0.0325,1,0
4.150,-4.831,8.756,-4.385,8.987,0.0325,0.0325,0,0
4.200,-5.048,8.632,-4.826,8.771,0.0324,0.0324,1,0
4.250,-5.263,8.503,-5.260,8.519,0.0323,0.0323,1,0
4.300,-5.474,8.369,-5.473,8.388,0.0322,0.0322,1,0
4.350,-5.681,8.230,-5.682,8.257,0.0322,0.0322,1,0
4.400,-5.885,8.085,-5.888,8.114,0.0321,0.0321,1,0
4.450,-6.085,7.935,-6.093,7.961,0.0321,0.0321,1,0
4.500,-6.282,7.781,-6.281,7.808,0.0321,0.0321,1,0
4.550,-6.474,7.621,-6.467,7.650,0.0320,0.0320,1,0
4.600,-6.663,7.457,-6.467,7.650,0.0320,0.0320,0,0
4.650,-6.847,7.288,-6.831,7.322,0.0319,0.0319,1,0
4.700,-7.027,7.115,-7.008,7.143,0.0319,0.0319,1,0
4.750,-7.203,6.937,-7.185,6.963,0.0319,0.0319,1,0
4.800,-7.374,6.755,-7.363,6.790,0.0319,0.0319,1,0
